id,repository_name,date(YYY-MM-DDThh-mm-ss),run_time(second),count_files,loc
Dav1dde/glad,Dav1dde/glad,2023-11-21T21-38-38,0.1726215730000149,3,567
davatorium/rofi,davatorium/rofi,2023-11-21T21-38-38,5.184223704000033,80,29338
DaveGamble/cJSON,DaveGamble/cJSON,2023-11-21T21-38-43,8.670915996000076,99,22149
dekuNukem/bob_cassette_rewinder,dekuNukem/bob_cassette_rewinder,2023-11-21T21-38-52,8.833333864999986,159,159624
dekuNukem/daytripper,dekuNukem/daytripper,2023-11-21T21-39-00,81.05252533000021,1453,1413806
dekuNukem/Nintendo_Switch_Reverse_Engineering,dekuNukem/Nintendo_Switch_Reverse_Engineering,2023-11-21T21-40-22,13.42745803700018,219,188030
derf/feh,derf/feh,2023-11-21T21-40-35,5.017604942000162,51,17429
destan19/OpenAppFilter,destan19/OpenAppFilter,2023-11-21T21-40-40,2.0736620450002192,26,6223
dgiese/dustcloud,dgiese/dustcloud,2023-11-21T21-40-42,2.199951177999992,20,13285
diracdeltas/FastestWebsiteEver,diracdeltas/FastestWebsiteEver,2023-11-21T21-40-44,0.1112498170000435,1,150
djkaty/Il2CppInspector,djkaty/Il2CppInspector,2023-11-21T21-40-44,18.85152658199968,119,11885373
djpohly/dwl,djpohly/dwl,2023-11-21T21-41-03,0.6136875080001118,5,3441
dlundquist/sniproxy,dlundquist/sniproxy,2023-11-21T21-41-04,3.157175500999984,39,7883
DNSPod/dnspod-sr,DNSPod/dnspod-sr,2023-11-21T21-41-07,3.632941788000153,27,9317
DoctorWkt/acwj,DoctorWkt/acwj,2023-11-21T21-41-11,434.3859013190004,8984,304824
dog-qiuqiu/MobileNet-Yolo,dog-qiuqiu/MobileNet-Yolo,2023-11-21T21-48-25,15.04153444900021,131,53898
dokan-dev/dokany,dokan-dev/dokany,2023-11-21T21-48-40,5.579550211999958,85,31668
DreamAndDead/CSAPP-3e-Solutions,DreamAndDead/CSAPP-3e-Solutions,2023-11-21T21-48-46,21.10724798499996,210,25153
dresden-elektronik/deconz-rest-plugin,dresden-elektronik/deconz-rest-plugin,2023-11-21T21-49-07,5.586258821999763,76,121777
droe/sslsplit,droe/sslsplit,2023-11-21T21-49-12,13.744612434999908,237,207456
dunst-project/dunst,dunst-project/dunst,2023-11-21T21-49-26,7.036799620999773,84,24831
dvorka/hstr,dvorka/hstr,2023-11-21T21-49-33,3.16395875399985,29,8078
DynamoRIO/drmemory,DynamoRIO/drmemory,2023-11-21T21-49-36,18.338657493000028,272,165195
DynamoRIO/dynamorio,DynamoRIO/dynamorio,2023-11-21T21-49-55,86.02717615300025,1078,670175
